Medical Terms,English,Cantonese (Traditional),Pronunciation (Jyutping),Example (Chinese + English)
Symptoms,Bloody stool,大便有血,daai6 bin6 jau5 hyut3,我發現大便有血。 (I noticed bloody stool.)
Emergency,Cardiac arrest,心臟停頓,sam1 zong6 ting4 deon6,佢啱啱心臟停頓。 (He just had a cardiac arrest.)
Symptoms,Congested,充血 / 鼻塞,cung1 hyut3 / bei6 sak1,我個鼻好塞。 (My nose is very congested.)
Symptoms,Cramps,抽筋,cau1 gan1,我隻腳成日抽筋。 (My legs often have cramps.)
Symptoms,Dizzy / Light-headed,頭暈,tau4 wan4,我覺得有啲頭暈。 (I feel a bit dizzy.)
Symptoms,Goosebumps,起雞皮,hei2 gai1 pei4,我凍到起雞皮。 (It's so cold I have goosebumps.)
Symptoms,Heart murmur,心臟雜音,sam1 zong6 zaap6 jam1,醫生話我有心臟雜音。 (The doctor said I have a heart murmur.)
Symptoms,Hoarseness,沙啞,saa1 aa2,我把聲好沙啞。 (My voice is very hoarse.)
Symptoms,Listlessness,無精打采,mou4 zing1 daa2 coi2,佢今日好似無精打采咁。 (He seems very listless today.)
Symptoms,Nauseated,想嘔,soeng2 au2,我覺得好想嘔。 (I feel nauseated.)
Symptoms,Pins and needles,針刺感覺 / 發麻,zam1 ci3 gam2 gok3 / faat3 maa4,我隻手有針刺感覺。 (I have pins and needles in my hand.)
Symptoms,Rash,皮疹 / 紅疹,pei4 can2 / hung4 can2,我全身起咗紅疹。 (I have a rash all over my body.)
Symptoms,Shortness of breath,呼吸短促,fu1 kap1 dyun2 cuk1,我成日覺得呼吸短促。 (I often feel shortness of breath.)
Symptoms,Stuffed up,鼻塞,bei6 sak1,我個鼻塞晒。 (My nose is completely stuffed up.)
Symptoms,Seizure,發作 (癲癇),faat3 zok3,佢突然抽筋發作。 (He suddenly had a seizure.)
Symptoms,Sprain,扭傷,nau2 soeng1,我琴日扭傷咗條頸。 (I sprained my neck yesterday.)
Symptoms,Shaking / Trembling,抖震,dau2 zan3,佢對手喺度抖震。 (His hands are trembling.)
Symptoms,Swollen,腫,zung2,我個腳踭腫咗。 (My ankle is swollen.)
Symptoms,Throbbing pain,抽痛 / 卜卜跳咁痛,cau1 tung3 / buk1 buk1 tiu3 gam2 tung3,我個頭抽住抽住咁痛。 (I have a throbbing pain in my head.)
Symptoms,Tingling,麻痺,maa4 bei3,我隻腳有啲麻痺。 (My leg feels a bit of tingling.)
Symptoms,Weakness,虛弱,heoi1 joek6,我覺得好虛弱。 (I feel very weak.)
Symptoms,Wheezing,抖氣有聲 / 喘鳴,dau2 hei3 jau5 seng1 / cyun2 ming4,我抖氣嗰陣有聲。 (I am wheezing when I breathe.)
Symptoms,Vaginal discharge,陰道分泌物,jam1 dou6 fan1 bei3 mat6,陰道分泌物增加。 (Vaginal discharge has increased.)
Symptoms,Foul smell,惡臭,ok3 cau3,傷口發出惡臭。 (The wound is giving off a foul smell.)
Symptoms,Urinary incontinence,尿失禁,niu6 sat1 gam3,佢有尿失禁嘅問題。 (He has a problem with urinary incontinence.)
Symptoms,Blister,水疱,seoi2 paau1,我對腳起咗水疱。 (I have blisters on my feet.)
,,,,
Treatments & Tests,English,Cantonese (Traditional),Pronunciation (Jyutping),Example (Chinese + English)
Test,Blood test,血液檢查,hyut3 jik6 gim2 caa4,我聽日要去中心做血液檢查。 (I need to go to the center for a blood test tomorrow.)
Test,Blood draw / Blood taken,抽血,cau1 hyut3,抽血嗰陣唔該放鬆啲。 (Please relax when your blood is being drawn.)
Test,Pap smear,子宮頸抹片檢查,zi2 gung1 gwing2 mut3 pin2 gim2 caa4,"醫生建議每年做一次子宮頸抹片檢查。 (The doctor recommends a Pap smear once a year.)"
Test,Biopsy,活組織檢查,ut6 zou2 zik1 gim2 caa4,"報告顯示活組織檢查結果正常。 (The report shows the biopsy results are normal.)"
Treatment,Anesthesia,麻醉,maa4 zeoi3,"手術前會先幫你做麻醉。 (You will be given anesthesia before the surgery.)"
Treatment,Dialysis,透析 (洗腎),tau3 sik1 (sai2 san6),"佢每個禮拜都要去醫院做透析。 (He has to go to the hospital for dialysis every week.)"
Treatment,Chemotherapy,化療,faa3 liu4,化療可能會令你覺得好攰。 (Chemotherapy might make you feel very tired.)
Treatment,Physical therapy / Chiropractor,脊椎治療師 / 物理治療,zek3 zeoi1 zi6 liu4 si1,"我膊頭痛，要去睇脊椎治療師。 (My shoulder hurts, I need to see a chiropractor.)"
